size,succeeded,timeout,duration
50,49,1,408409
100,98,2,6332805
150,148,2,1919575
200,198,2,3867413
250,248,2,100129626
300,298,2,11756214
350,348,2,7198643
400,398,2,4270958
450,448,2,9512233
500,498,2,4453343
550,547,3,6245132
600,597,3,15458064
650,647,3,21904209
700,697,3,98500379
750,747,3,19775879
800,797,3,20949749
850,847,3,90562211
900,895,5,111491342
950,945,5,105747425
1000,995,5,95707824
1050,1045,5,87335321
1100,1095,5,24114245
1150,1145,5,97485532
1200,1195,5,100001052
1250,1245,5,107749781
1300,1295,5,17258467
1350,1344,6,118415441
1400,1394,6,118060932
1450,1444,6,20709195
1500,1494,6,109310397
1550,1544,6,110781357
1600,1594,6,212722833
1650,1644,6,13539418
1700,1694,6,20507545
1750,1742,8,135880794
1800,1791,9,37692810
1850,1841,9,139666570
1900,1891,9,29627569
1950,1941,9,136849534
2000,1991,9,125202512
